Issue Type,Priority,Issue key,Issue id,Summary,Assignee,Reporter,Status,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Custom field (Found in Build),Created,Resolution
Defect,3 - Medium,APPS-16350,22601416,WLM S&P Screen - Outcome button for alert with multiple exclusion is not displayed,lan.doan,lan.doan,Need More Info,,,,,,,,,,COMPL 8.4,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,1,08/Jul/2022 04:08 PM,
Defect,3 - Medium,APPS-16349,22601082,V_SM_ACCOUNT_UPDATE conditions not met for fresh environment,IVanDooren,rudolf.andruch,New,,,,,,,,,,APPS 5.0.1,,,,,,,,,,,AML,,,,,,,,,,,,,,,8.0.x,06/Jul/2022 11:39 AM,
Defect,3 - Medium,APPS-16348,22600905,Redundant Outer Join in V_TRANSACTIONS_LIST,KYadav,lukasz.pacan,New,,,,,,,,,,COMPL 8.2,,,,,,,,,,,EIM Framework,,,,,,,,,,,,,,,8.2.0.0,05/Jul/2022 10:58 AM,
Defect,4 - Low,APPS-16347,22600816,Screen EIM_Customer_Alerts_v45 - Mass Match for WLM Alerts Fails,MDonder,lukasz.pacan,New,,,,,,,,,,COMPL 8.2,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,8.2.0.0,04/Jul/2022 12:19 PM,
Defect,3 - Medium,APPS-16346,22600366,AML OPT Scenario Analysis screen - Cross section filtering performance,MZielinska,MZielinska,Rejected,,,,,,,,,,APPS 4.8,,,,,,,,,,,AML Optimization,,,,,,,,,,,,,,,1.0.0,27/Jun/2022 09:36 AM,Project Config Issue
Defect,3 - Medium,APPS-16345,22600342,CLONE - CLONE - Error trying to export list from Alert Dashboard,HGough,HGough,Need More Info,,,,,,,,,,EIM_FRA 8.1.1,,,,,,,,,,,EIM Framework,,,,,,,,,,,,,,,8.1.0.37,27/Jun/2022 09:25 AM,
Defect,3 - Medium,APPS-16344,22600341,CLONE - CLONE - Cannot export to excel from Group Work -> Search Watchlist Manager list section,MDonder,HGough,New,,,,,,,,,,COMPL 8.1.1,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,8.1.0.37,27/Jun/2022 09:22 AM,
Defect,3 - Medium,APPS-16342,22600210,CLONE - Invalid URL in External Connectors,MDonder,keith.bradford,New,,,,,,,,,,EIM_FRA 8.4,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,8.4,23/Jun/2022 03:26 PM,
Defect,3 - Medium,APPS-16341,22599614,CLONE - CLONE - UAT_Icons not visible on the Transaction List view,,jo.laflin,Rejected,,,,,,,,,,EIM_FRA 8.2,,,,,,,,,,,EIM Framework,,,,,,,,,,,,,,, 8.2.0.18,15/Jun/2022 03:43 PM,Not an issue
Defect,4 - Low,APPS-16340,22599151,My Open Alerts Home Page Event Date is not populated,KYadav,dawid.majkowski,New,,,,,,,,,,EIM_FRA 8.4,,,,,,,,,,,EIM Framework,,,,,,,,,,,,,,,8.4.0.2,09/Jun/2022 03:53 PM,
Defect,3 - Medium,APPS-16339,22599053,CLONE [ABSAV8TEST-369] - CDD-ODD Batch performance,,awphillips,New,,,,,,,,,,COMPL 8.1.1,,,,,,,,,,,CDD Scoring,,,,,,,,,,,,,,,8.1.0.0,08/Jun/2022 03:43 PM,
Defect,3 - Medium,APPS-16337,22598982,Other Details and Related Cases popup sections are unlinked from Alert Search,KYadav,DKnyazev,New,,,,,,,,,,APPS 8.1,COMPL 8.2,,,,,,,,,,Investigator - Screens,,,,,,,,,,,,,,,8.2.0.14,08/Jun/2022 08:42 AM,
Defect,3 - Medium,APPS-16335,22598786,Poor performance of Customers section on Alert Details screen on postgreSQL,brajewski,brajewski,Rejected,,,,,,,,,,APPS 8.1,,,,,,,,,,,EIM Framework,,,,,,,,,,,,,,,8.1.0.27,03/Jun/2022 12:18 PM,Environmental Issue
Defect,3 - Medium,APPS-16333,22598564,[ZNB-227] - Customer in Wrong State Error,,hasse.chacon,Rejected,,,,,,,,,,APPS 4.9.0.2,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,7.7.0.9,31/May/2022 08:57 PM,Project Config Issue
Defect,3 - Medium,APPS-16331,22598497,Alerting Subjects Screen gets frozen,IRuszkiewicz,IRuszkiewicz,Rejected,,,,,,,,,,EIM_FRA 8.2,,,,,,,,,,,Investigator - Alerts,,,,,,,,,,,,,,,8.2.0.19,31/May/2022 09:56 AM,Environmental Issue
Defect,3 - Medium,APPS-16330,22598254,"[HAR-333] - User was trying to edit a disclosure prior to the implemented fix and they kept deleting and creating numerous disclosures causing a one off issue that essentially locked the 50115 disclosure, so edits cannot be made",JLalor,raghav.pillai,Assigned,,,,,,,,,,APPS 8.1,,,,,,,,,,,FinCEN SAR Solution,,,,,,,,,,,,,,,8.1.0.46,26/May/2022 02:42 PM,
Defect,3 - Medium,APPS-16324,22596545,[GEL-370] CDD process throws Unique Constraint error,,samuel.rompas,Closed,,,,,,,,,,APPS 5.0.1,,,,,,,,,,,CDD Scoring,,,,,,,,,,,,,,,8.0.1.19,11/May/2022 07:15 AM,Answered
Defect,3 - Medium,APPS-16322,22596089,"[APPSDEV-1688][BMO81AML-474] If we update a case name when a case is in SAR Review, it does not update/show the revised name on the Disclosure Approval page. ",JLalor,Hemanth.Erabelli,Assigned,,,,,,,,,,APPS 8.1,,,,,,,,,,,EIM Framework,FinCEN SAR Solution,,,,,,,,,,,,,,8.1.0.46,04/May/2022 08:14 PM,
