WBS Code,Responsible,Name,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01
N.GB.002114.03,Ciaran Finnegan,FS-Eng-Customer Engineering,$0,$4,$6,$4,$15,$67,$2,,,,,
N.GB.002117.01,Ciaran Finnegan,FS-Eng-AWS,$149,$162,$198,$188,$271,$368,$456,$198,$480,$1111,$644,$447
N.GB.002110.01,Hilary Stevens,FS-Eng-SNA Platform Backlog Dev,$26644,$22970,$24143,$25638,$30384,$30517,$26913,$25432,$27775,$28032,$27509,$27276
N.GB.002110.03,Hilary Stevens,FS-Eng-SNA Platform S&M,$55,$47,$17,$17,$17,$17,$17,$17,$17,$17,$17,$17
N.GB.002109.01,Isabel Van Dooren,FS-Eng-Compliance Dev,$1512,$1453,$1407,$850,$947,$1949,$2083,$1896,$1512,$1407,$2609,$2594
N.GB.002109.02,Isabel Van Dooren,FS-Eng-Compliance S&M,$400,$520,$882,$882,$680,$771,$695,$537,$108,$108,$123,$96
N.GB.002109.03,Isabel Van Dooren,FS-Eng-Compliance WLM S&M,$363,$439,$411,$428,$458,$578,$836,$1491,$1098,$479,$333,$322
N.GB.002109.04,Isabel Van Dooren,FS-Eng-Compliance CDD / KYC S&M,$58,$79,$16,$108,$73,$30,$141,$91,$35,$172,$48,$103
N.GB.002109.07,Isabel Van Dooren,FS-Eng-Compliance 2019 investment,$1864,$1576,$1709,$1443,$1260,$1505,$1517,$1015,$862,$939,$1258,$895
N.GB.002109.08,Isabel Van Dooren,FS-Eng-WLM Dev,$4251,$4387,$3963,$4823,$6126,$6297,$6516,$7005,$5505,$5679,$5106,$5257
N.GB.002109.09,Isabel Van Dooren,FS-Eng-CDD Dev,$3279,$3835,$3445,$3556,$3018,$3062,$3641,$2955,$3151,$2865,$3083,$3014
N.GB.002109.10,Isabel Van Dooren,FS-Eng-Notreveal CDD,$100,$45,$48,$51,$47,$179,$256,$287,$108,$25,$0,
N.GB.002111.01,Kilian Colleran,FS-Eng-WLM V4.8/7.6 Dev,$78,$70,$66,$22,$22,$22,$22,$22,$22,$22,$22,$22
N.GB.002114.01,Kilian Colleran,FS-Eng-EIM Platform Dev,$6071,$7122,$7813,$10675,$12314,$13992,$15428,$11739,$9805,$8835,$7790,$8667
N.GB.002114.02,Kilian Colleran,FS-Eng-EIM Platform S&M,$164,$196,$186,$180,$185,$238,$248,$217,$218,$194,$175,$185
N.GB.002114.09,Kilian Colleran,FS-Eng-Notreveal UI,$192,$187,$262,$356,$366,$366,$356,$366,$351,$352,$351,$342
N.GB.002114.10,Kilian Colleran,FS-Eng-EIM Tech Modernisation 2019,$1504,$1553,$1089,$719,$734,$753,$704,$675,$723,$798,$501,$491
N.GB.002112.01,Matthew Wilkins,FS-Eng-Advanced Analytics Platform,$1671,$1902,$1899,$2044,$3185,$5323,$4010,$1548,$1633,$1784,$1726,$1462
N.GB.002118.01,Matthew Wilkins,FS-Eng RT Detection Engine Dev,$293,$345,$332,$336,$371,$405,$449,$376,$321,$335,$584,$811
N.GB.002118.02,Matthew Wilkins,FS-Eng RT Detection Engine S&M,$476,$498,$556,$491,$474,$565,$622,$533,$542,$477,$342,$439
N.GB.002122.02,Matthew Wilkins,FS-Eng-Bank Fraud S&M,$1368,$642,$711,$871,$587,$607,$891,$683,$1033,$893,$889,$529
N.GB.002124.01,Matthew Wilkins,FS-Eng-AML Scen Man Big Data Dev,$738,$885,$935,$903,$828,$1097,$1282,$1067,$1155,$1195,$949,$684
N.GB.002649.01,Matthew Wilkins,FS-Eng-Scenario Manager DUX - Dev,$239,$282,$206,$238,$162,$114,$168,$145,$154,$127,$101,$136
N.GB.002114.12,Mick Muldowney,FS-Eng-Notreveal Serverless,$8851,$5370,$5769,$6683,$6697,$9292,$9909,$8301,$11107,$11772,$12553,$12485
N.GB.002114.04,Paul Nolan,FS-Eng-NetReveal Eng Systems Team,$3741,$3964,$3881,$4585,$4524,$4074,$4639,$4646,$4440,$5342,$4637,$5021
