Issue Type,Priority,Issue key,Issue id,Summary,Assignee,Custom field (Source),Reporter,Status,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Custom field (Found in Build),Created,Resolution
Defect,3 - Medium,PLAT-24320,22610566,Graphical view on transactions,ARasim,Norkom QA,ARasim,Assigned,,,,,,,,,,,,,,,,,,,,,,,8.4.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.4.1,17/Oct/2022 11:18 AM,
Defect,3 - Medium,PLAT-24319,22610562,Graphical view on transactions,ARasim,Norkom QA,ARasim,Rejected,,,,,,,,,,,,,,,,,,,,,,,8.4.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.4.1.0,17/Oct/2022 10:59 AM,Won't Fix
Defect,4 - Low,PLAT-24318,22610529,Filtered lists retain the shape of the previous filter,EFitzgerald,Bendigo,vincent.chin,New,,,,,,,,,,,,,,,,,,,,,,,8.4.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.4.1,17/Oct/2022 04:56 AM,
Defect,3 - Medium,PLAT-24316,22610338,REST External Connector: missing HTTP methods in the drop-down list,Pnolan,Norkom QA,IKhalili,New,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,8.3.0.6,13/Oct/2022 11:30 AM,
Defect,3 - Medium,PLAT-24314,22610207,NR application created additional topics itself,AManayangath,Bendigo,vincent.chin,New,,,,,,,,,,,,,,,,,,,,,,,8.4.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.4.1,12/Oct/2022 03:08 AM,
Defect,3 - Medium,PLAT-24313,22609927,Extended datasource field configuration issue after import of WLM config,EFitzgerald,Norkom QA,NBresnan,New,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.0.1.19 ,10/Oct/2022 03:30 PM,
Defect,2 - High,PLAT-24311,22609689,NAB Customer raise empty detection check and transaction response with NOHIT,AManayangath,Norkom QA,YWong1,New,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,MX_1.0.3,06/Oct/2022 07:17 AM,
Defect,3 - Medium,PLAT-24307,22609408,DJ - Additional sublists appear after WLM Import,AManayangath,CIMB,phingphing.tan,New,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.6,03/Oct/2022 09:23 AM,
Defect,3 - Medium,PLAT-24306,22609304,[OCBC-280] AMLKYC: NetReveal Full vs Delta Screening Finished but Status not updated in Database,AManayangath,Norkom QA,raihan.abdulkadir,Assigned,,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2.1.53,30/Sep/2022 04:09 AM,
Defect,3 - Medium,PLAT-24305,22608893,Complete Message is not displayed for TransferWise Batch alert that using XML Transformer,EFitzgerald,Norkom QA,vincent.chin,New,,,,,,,,,,,,,,,,,,,,,,,8.4.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.4.1,28/Sep/2022 04:49 AM,
